"정본CSV행번호","업소명","소재지도로명주소","소재지지번주소","참고POI상호","참고POI도로명주소","참고POI지번주소","원본주소지도검색URL","참고POI지도검색URL","지도대조결과","검토결정","정본반영여부","감사제안위도","감사제안경도","비고"
"124","마샹스헤어살롱","경기도 동두천시 중앙로134-20, 202호(지행동)","","<b>마샹스헤어살롱</b>","경기도 동두천시 중앙로 134-20 2층 202호 마샹스헤어살롱","경기도 동두천시 지행동 694-5 2층 202호 마샹스헤어살롱","https://map.naver.com/p/search/%EB%A7%88%EC%83%B9%EC%8A%A4%ED%97%A4%EC%96%B4%EC%82%B4%EB%A1%B1%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C134-20%2C%20202%ED%98%B8%28%EC%A7%80%ED%96%89%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EB%A7%88%EC%83%B9%EC%8A%A4%ED%97%A4%EC%96%B4%EC%82%B4%EB%A1%B1%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C%20134-20%202%EC%B8%B5%20202%ED%98%B8%20%EB%A7%88%EC%83%B9%EC%8A%A4%ED%97%A4%EC%96%B4%EC%82%B4%EB%A1%B1","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"125","박미라 헤어스토리","경기도 동두천시 평화로2452-1(생연동)","","<b>박미라헤어스토리</b>","경기도 동두천시 평화로 2452-1","경기도 동두천시 생연동 480-27","https://map.naver.com/p/search/%EB%B0%95%EB%AF%B8%EB%9D%BC%20%ED%97%A4%EC%96%B4%EC%8A%A4%ED%86%A0%EB%A6%AC%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2452-1%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EB%B0%95%EB%AF%B8%EB%9D%BC%ED%97%A4%EC%96%B4%EC%8A%A4%ED%86%A0%EB%A6%AC%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C%202452-1","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"126","보배헤어샵","경기도 동두천시 중앙로286번길 21-3(생연동)","","<b>보배헤어샵</b>","경기도 동두천시 중앙로286번길 21-3","경기도 동두천시 생연동 613-108","https://map.naver.com/p/search/%EB%B3%B4%EB%B0%B0%ED%97%A4%EC%96%B4%EC%83%B5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C286%EB%B2%88%EA%B8%B8%2021-3%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EB%B3%B4%EB%B0%B0%ED%97%A4%EC%96%B4%EC%83%B5%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C286%EB%B2%88%EA%B8%B8%2021-3","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"127","삐삐머리방","경기도 동두천시 평화로2530번길 35(보산동)","","<b>삐삐머리방</b>","경기도 동두천시 평화로2530번길 35","경기도 동두천시 보산동 407-4","https://map.naver.com/p/search/%EC%82%90%EC%82%90%EB%A8%B8%EB%A6%AC%EB%B0%A9%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2530%EB%B2%88%EA%B8%B8%2035%28%EB%B3%B4%EC%82%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EC%82%90%EC%82%90%EB%A8%B8%EB%A6%AC%EB%B0%A9%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2530%EB%B2%88%EA%B8%B8%2035","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"131","신지미헤어라인","경기도 동두천시 광암로33번길 13-10(광암동)","","<b>신지미헤어라인</b>","경기도 동두천시 광암로33번길 13-10","경기도 동두천시 광암동 494-61","https://map.naver.com/p/search/%EC%8B%A0%EC%A7%80%EB%AF%B8%ED%97%A4%EC%96%B4%EB%9D%BC%EC%9D%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EA%B4%91%EC%95%94%EB%A1%9C33%EB%B2%88%EA%B8%B8%2013-10%28%EA%B4%91%EC%95%94%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EC%8B%A0%EC%A7%80%EB%AF%B8%ED%97%A4%EC%96%B4%EB%9D%BC%EC%9D%B8%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EA%B4%91%EC%95%94%EB%A1%9C33%EB%B2%88%EA%B8%B8%2013-10","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"170","요리하는경더기","경기도 동두천시 중앙로134-20, 3층(지행동)","","<b>요리하는경더기</b>","경기도 동두천시 중앙로 134-20 3층 302호","경기도 동두천시 지행동 694-5 3층 302호","https://map.naver.com/p/search/%EC%9A%94%EB%A6%AC%ED%95%98%EB%8A%94%EA%B2%BD%EB%8D%94%EA%B8%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C134-20%2C%203%EC%B8%B5%28%EC%A7%80%ED%96%89%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EC%9A%94%EB%A6%AC%ED%95%98%EB%8A%94%EA%B2%BD%EB%8D%94%EA%B8%B0%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C%20134-20%203%EC%B8%B5%20302%ED%98%B8","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"174","으뜸코다리냉면","경기도 동두천시 생연로170-2, 1층(생연동)","","<b>으뜸코다리냉면</b>","경기도 동두천시 생연로 170-2 (생연동,1층)","경기도 동두천시 생연동 586-38 1층","https://map.naver.com/p/search/%EC%9C%BC%EB%9C%B8%EC%BD%94%EB%8B%A4%EB%A6%AC%EB%83%89%EB%A9%B4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C170-2%2C%201%EC%B8%B5%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EC%9C%BC%EB%9C%B8%EC%BD%94%EB%8B%A4%EB%A6%AC%EB%83%89%EB%A9%B4%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C%20170-2%20%28%EC%83%9D%EC%97%B0%EB%8F%99%2C1%EC%B8%B5%29","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"176","장단콩터","경기도 동두천시 생연로119-1, 1층(생연동)","","<b>장단콩터</b>","경기도 동두천시 생연로 119-1 1층","경기도 동두천시 생연동 820-7 1층","https://map.naver.com/p/search/%EC%9E%A5%EB%8B%A8%EC%BD%A9%ED%84%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C119-1%2C%201%EC%B8%B5%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EC%9E%A5%EB%8B%A8%EC%BD%A9%ED%84%B0%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C%20119-1%201%EC%B8%B5","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"142","차희에스 머리사랑","경기도 동두천시 행선로98(생연동)","","<b>차희에스머리사랑</b>","경기도 동두천시 행선로 98","경기도 동두천시 생연동 342-4","https://map.naver.com/p/search/%EC%B0%A8%ED%9D%AC%EC%97%90%EC%8A%A4%20%EB%A8%B8%EB%A6%AC%EC%82%AC%EB%9E%91%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%96%89%EC%84%A0%EB%A1%9C98%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EC%B0%A8%ED%9D%AC%EC%97%90%EC%8A%A4%EB%A8%B8%EB%A6%AC%EC%82%AC%EB%9E%91%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%96%89%EC%84%A0%EB%A1%9C%2098","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"178","처가집(부대찌개)","경기도 동두천시 어수로91-3(생연동)","","<b>처가집</b> <b>부대찌개</b>","경기도 동두천시 어수로 91-3","경기도 동두천시 생연동 690-25","https://map.naver.com/p/search/%EC%B2%98%EA%B0%80%EC%A7%91%28%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%29%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%96%B4%EC%88%98%EB%A1%9C91-3%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%EC%B2%98%EA%B0%80%EC%A7%91%3C%2Fb%3E%20%3Cb%3E%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%96%B4%EC%88%98%EB%A1%9C%2091-3","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"181","통큰부대찌개","경기도 동두천시 생연로39-60(지행동)","","<b>통큰부대찌개</b>","경기도 동두천시 생연로 39-60","경기도 동두천시 지행동 669-9","https://map.naver.com/p/search/%ED%86%B5%ED%81%B0%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C39-60%28%EC%A7%80%ED%96%89%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%ED%86%B5%ED%81%B0%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C%2039-60","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"182","특허받은 마늘콩짜장","경기도 동두천시 평화로 2351(생연동)","","<b>특허받은마늘콩짜장</b>","경기도 동두천시 평화로 2351 특허받은마늘콩짜장","경기도 동두천시 생연동 743-9 특허받은마늘콩짜장","https://map.naver.com/p/search/%ED%8A%B9%ED%97%88%EB%B0%9B%EC%9D%80%20%EB%A7%88%EB%8A%98%EC%BD%A9%EC%A7%9C%EC%9E%A5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C%202351%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%ED%8A%B9%ED%97%88%EB%B0%9B%EC%9D%80%EB%A7%88%EB%8A%98%EC%BD%A9%EC%A7%9C%EC%9E%A5%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C%202351%20%ED%8A%B9%ED%97%88%EB%B0%9B%EC%9D%80%EB%A7%88%EB%8A%98%EC%BD%A9%EC%A7%9C%EC%9E%A5","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"148","헤어바이 미정","경기도 동두천시 중앙로265번길 8(생연동)","","<b>헤어바이미정</b>","경기도 동두천시 중앙로265번길 8 헤어바이미정","경기도 동두천시 생연동 592-3 헤어바이미정","https://map.naver.com/p/search/%ED%97%A4%EC%96%B4%EB%B0%94%EC%9D%B4%20%EB%AF%B8%EC%A0%95%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C265%EB%B2%88%EA%B8%B8%208%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%ED%97%A4%EC%96%B4%EB%B0%94%EC%9D%B4%EB%AF%B8%EC%A0%95%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C265%EB%B2%88%EA%B8%B8%208%20%ED%97%A4%EC%96%B4%EB%B0%94%EC%9D%B4%EB%AF%B8%EC%A0%95","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
"186","황주생고기","경기도 동두천시 생연로142(생연동)","","<b>황주생고기</b>","경기도 동두천시 생연로 142","경기도 동두천시 생연동 823-19","https://map.naver.com/p/search/%ED%99%A9%EC%A3%BC%EC%83%9D%EA%B3%A0%EA%B8%B0%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C142%28%EC%83%9D%EC%97%B0%EB%8F%99%29","https://map.naver.com/p/search/%3Cb%3E%ED%99%A9%EC%A3%BC%EC%83%9D%EA%B3%A0%EA%B8%B0%3C%2Fb%3E%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C%20142","미검토","미검토","아니오","","","지도 POI 화면에서 상호와 도로명주소를 대조하고, 불일치 또는 검색 불가면 재확인 필요로 남김"
