"정본CSV행번호","감사정본행번호","업소명","소재지도로명주소","소재지지번주소","현재위도","현재경도","현재좌표검증상태","감사제안위도","감사제안경도","POI상호","POI도로명주소","POI지번주소","좌표출처","좌표출처URL","권장좌표검증상태","감사판정","검토결정","정본반영여부","검토메모"
"368","368","행복한사람들","경기도 양주시 백석읍 권율로 852","","37.7749653","126.9611821","확인 완료","37.774723","126.961398","<b>행복한사람들</b>","경기도 양주시 백석읍 권율로 852","경기도 양주시 백석읍 기산리 131-2","네이버 지도","https://map.naver.com/p/search/%ED%96%89%EB%B3%B5%ED%95%9C%EC%82%AC%EB%9E%8C%EB%93%A4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EB%B0%B1%EC%84%9D%EC%9D%8D%20%EA%B6%8C%EC%9C%A8%EB%A1%9C%20852","확인 완료","확인 후보","미검토","아니오","감사 후보이며, 사람 검토 전 정본에 자동 반영하지 않음"
"118","118","개성연출","경기도 동두천시 정장로 31-12, 1층","","37.9047658","127.054556","확인 완료","37.9047658","127.054556","개성연출","경기도 동두천시 정장로 31-12, 1층","경기도 동두천시 생연동 650-14, 1층","네이버 지도","https://map.naver.com/p/search/%EA%B0%9C%EC%84%B1%EC%97%B0%EC%B6%9C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A0%95%EC%9E%A5%EB%A1%9C%2031-12","확인 완료","확인 후보","지도 화면 대조 완료","예","2026-09-08 NAVER 지도 POI 화면에서 상호·도로명·건물번호·1층 일치 확인"
"117","117","수민헤어","경기도 김포시 통진읍 조강로 98, 1층","","37.6929395","126.5959984","재확인 필요","37.6929431","126.5961155","수민헤어","경기도 김포시 통진읍 조강로 98, 1층","경기도 김포시 통진읍 서암리 763-3, 1층","네이버 지도","https://map.naver.com/p/search/%EC%88%98%EB%AF%BC%ED%97%A4%EC%96%B4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EA%B9%80%ED%8F%AC%EC%8B%9C%20%ED%86%B5%EC%A7%84%EC%9D%8D%20%EC%A1%B0%EA%B0%95%EB%A1%9C%2098","확인 완료","확인 후보","지도 화면 대조 완료","예","2026-09-08 NAVER 지도 POI 화면에서 상호·도로명·건물번호·1층 일치 확인"
"119","119","고미나 헤어모드","경기도 동두천시 동광로 75-1, 1층","","37.9089353","127.0566985","확인 완료","37.9088926","127.0567176","고미나헤어모드","경기도 동두천시 동광로 75-1, 1층","경기도 동두천시 생연동 504-1, 1층","네이버 지도","https://map.naver.com/p/search/%EA%B3%A0%EB%AF%B8%EB%82%98%20%ED%97%A4%EC%96%B4%EB%AA%A8%EB%93%9C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EB%8F%99%EA%B4%91%EB%A1%9C%2075-1","확인 완료","확인 후보","지도 화면 대조 완료","예","2026-09-08 NAVER 지도 POI 화면에서 상호·도로명·건물번호·1층 일치 확인"
"151","151","그린파크모텔","경기도 동두천시 어수로91-10(생연동)","","37.902995","127.0530101","확인 완료","37.9030031","127.0529927","그린파크모텔","경기 동두천시 어수로 91-10","","네이버 지도","https://map.naver.com/p/search/%EA%B7%B8%EB%A6%B0%ED%8C%8C%ED%81%AC%EB%AA%A8%ED%85%94%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%96%B4%EC%88%98%EB%A1%9C91-10%28%EC%83%9D%EC%97%B0%EB%8F%99%29","확인 완료","확인 후보","최종 승인","예","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음; 2026-09-10 2차 네이버 지도 POI 대조 통과, canonical/seed 반영 전; 2026-09-10 canonical 좌표 반영 완료"
"120","120","김희정헤어샵","경기도 동두천시 지행로65, 2층(지행동)","","37.8926766","127.0544782","확인 완료","","","","","","","https://map.naver.com/p/search/%EA%B9%80%ED%9D%AC%EC%A0%95%ED%97%A4%EC%96%B4%EC%83%B5%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A7%80%ED%96%89%EB%A1%9C65%2C%202%EC%B8%B5%28%EC%A7%80%ED%96%89%EB%8F%99%29","미확인","보류","보류","아니오","2026-09-10 업소명 + 정본 주소로 네이버 지도에서 직접 특정 가능한 POI를 확인하지 못해 좌표 미반영 보류"
"159","159","넓은공간","경기도 동두천시 평화로2910번길 82(상봉암동)","","37.9456285","127.0657472","확인 완료","37.945649","127.0657249","넓은공간","경기 동두천시 평화로2910번길 82","","네이버 지도","https://map.naver.com/p/search/%EB%84%93%EC%9D%80%EA%B3%B5%EA%B0%84%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2910%EB%B2%88%EA%B8%B8%2082%28%EC%83%81%EB%B4%89%EC%95%94%EB%8F%99%29","확인 완료","확인 후보","최종 승인","예","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음; 2026-09-10 2차 네이버 지도 POI 대조 통과, canonical/seed 반영 전; 2026-09-10 canonical 좌표 반영 완료"
"160","160","다복식당","경기도 동두천시 생연로177(생연동)","","37.9082713","127.0527418","확인 완료","37.9082736","127.052708","다복식당","경기 동두천시 생연로 177","","네이버 지도","https://map.naver.com/p/search/%EB%8B%A4%EB%B3%B5%EC%8B%9D%EB%8B%B9%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C177%28%EC%83%9D%EC%97%B0%EB%8F%99%29","확인 완료","확인 후보","최종 승인","예","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음; 2026-09-10 2차 네이버 지도 POI 대조 통과, canonical/seed 반영 전; 2026-09-10 canonical 좌표 반영 완료"
"163","163","대호숯불갈비","경기도 동두천시 중앙로265번길 19(생연동)","","37.9052307","127.0526925","확인 완료","37.905229","127.0527416","대호숯불갈비","경기 동두천시 중앙로265번길 19 대호숯불갈비","","네이버 지도","https://map.naver.com/p/search/%EB%8C%80%ED%98%B8%EC%88%AF%EB%B6%88%EA%B0%88%EB%B9%84%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C265%EB%B2%88%EA%B8%B8%2019%28%EC%83%9D%EC%97%B0%EB%8F%99%29","확인 완료","확인 후보","최종 승인","예","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음; 2026-09-10 2차 네이버 지도 POI 대조 통과, canonical/seed 반영 전; 2026-09-10 canonical 좌표 반영 완료"
"164","164","동태한그릇","경기도 동두천시 생연로155(생연동)","","37.9063421","127.0519865","확인 완료","37.9063251","127.0519957","동태한그릇","경기 동두천시 생연로 155","","네이버 지도","https://map.naver.com/p/search/%EB%8F%99%ED%83%9C%ED%95%9C%EA%B7%B8%EB%A6%87%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C155%28%EC%83%9D%EC%97%B0%EB%8F%99%29","확인 완료","확인 후보","최종 승인","예","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호와 좌표를 확인함; 이번 단계에서는 canonical 및 Android seed에 반영하지 않음; 2026-09-10 2차 네이버 지도 POI 대조 통과, canonical/seed 반영 전; 2026-09-10 canonical 좌표 반영 완료"
