"정본CSV행번호","업소명","시도","시군구","소재지도로명주소","소재지지번주소","혜택상태","좌표검토상태","지도표시정책","혜택검토상태","출시판정","좌표검토행수","혜택검토행수","정본반영여부"
"25","보드게임카페 레드버튼 건대점","서울특별시","광진구","서울특별시 광진구동일로22길81(화양동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"26","9로평상","서울특별시","구로구","서울특별시 구로구 서해안로 2134 (항동)","","확인 필요","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"27","국수집","서울특별시","동대문구","서울특별시 동대문구한천로14길63(장안동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"28","돈벼락김치삼겹살 장안동본점","서울특별시","동대문구","서울특별시 동대문구장한로26길24(장안동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"29","서울쉬퐁","서울특별시","동대문구","서울특별시 동대문구한천로63길17(이문동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"30","자연석 돌구이 생삼겹살 한우","서울특별시","동작구","서울특별시 동작구여의대방로202(대방동, 1층)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"31","한제소곱창전골 신대방삼거리역점","서울특별시","동작구","서울특별시 동작구여의대방로22길121- 0(신대방동, 상가동 1층 1444호, 1445호)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"32","에이치플레이스","서울특별시","동작구","서울특별시 동작구여의대방로36길10(대방동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"33","카피바라 커피랩","서울특별시","동작구","서울특별시 동작구대방동23길36(대방동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"34","허슬러즈바버샵 홍대","서울특별시","마포구","서울특별시 마포구 와우산로 51-6, 지하 1층","","확인 필요","확인 완료","좌표 마커 표시","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","1","0","아니오"
"35","연과점 하루","서울특별시","마포구","서울특별시 마포구동교로16길12(서교동, (1층))","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
