"정본CSV행번호","감사정본행번호","업소명","소재지도로명주소","소재지지번주소","현재위도","현재경도","현재좌표검증상태","감사제안위도","감사제안경도","POI상호","POI도로명주소","POI지번주소","좌표출처","좌표출처URL","권장좌표검증상태","감사판정","검토결정","정본반영여부","검토메모"
"225","225","천하곱창","파주시 문산읍 문향로 81","경기도 파주시 문산읍 선유리 955-19","37.8590190233","126.7859517491","재확인 필요","37.8589876","126.7860765","천하곱창","경기 파주시 문산읍 문향로 81","경기 파주시 문산읍 선유리 955-19","네이버 지도","https://map.naver.com/p/search/%EC%B2%9C%ED%95%98%EA%B3%B1%EC%B0%BD%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EC%82%B0%EC%9D%8D%20%EB%AC%B8%ED%96%A5%EB%A1%9C%2081","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 좌표를 확인함"
"433","433","청송마루","파주시 탄현면 방촌로 1071","경기도 파주시 탄현면 낙하리 53-6","37.8262966706","126.7389362676","재확인 필요","37.8262891","126.7389552","청송마루","경기 파주시 탄현면 방촌로 1071 2동 1층 4, 5, 6호","경기 파주시 탄현면 낙하리 53-6","네이버 지도","https://map.naver.com/p/search/%EC%B2%AD%EC%86%A1%EB%A7%88%EB%A3%A8%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%83%84%ED%98%84%EB%A9%B4%20%EB%B0%A9%EC%B4%8C%EB%A1%9C%201071","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 2동 1층 4·5·6호 상세 표기 및 좌표를 확인함"
"263","263","초리골 제빵소","파주시 법원읍 초리골길 77","경기도 파주시 법원읍 법원리 389-1","37.8506294681","126.8878095314","재확인 필요","37.8506337","126.8878165","초리골제빵소","경기 파주시 법원읍 초리골길 77","경기 파주시 법원읍 법원리 389-1","네이버 지도","https://map.naver.com/p/search/%EC%B4%88%EB%A6%AC%EA%B3%A8%20%EC%A0%9C%EB%B9%B5%EC%86%8C%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%B2%95%EC%9B%90%EC%9D%8D%20%EC%B4%88%EB%A6%AC%EA%B3%A8%EA%B8%B8%2077","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호의 공백 차이와 도로명 건물번호·지번 및 좌표를 확인함"
"258","258","초리연","파주시 법원읍 초리골길 357-18","경기도 파주시 법원읍 법원리 112-1","37.8606692416","126.8959801437","재확인 필요","37.8606659","126.8959901","초리연","경기 파주시 법원읍 초리골길 357-18 초리연","경기 파주시 법원읍 법원리 112-1","네이버 지도","https://map.naver.com/p/search/%EC%B4%88%EB%A6%AC%EC%97%B0%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%B2%95%EC%9B%90%EC%9D%8D%20%EC%B4%88%EB%A6%AC%EA%B3%A8%EA%B8%B8%20357-18","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 좌표를 확인함"
"435","435","최고야짬뽕","파주시 탄현면 필승로 490","경기도 파주시 탄현면 성동리 663-5","37.7839991279","126.6891369619","재확인 필요","37.7840337","126.6891244","최고야짬뽕","경기 파주시 탄현면 필승로 490 1층","경기 파주시 탄현면 성동리 663-5","네이버 지도","https://map.naver.com/p/search/%EC%B5%9C%EA%B3%A0%EC%95%BC%EC%A7%AC%EB%BD%95%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%83%84%ED%98%84%EB%A9%B4%20%ED%95%84%EC%8A%B9%EB%A1%9C%20490","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 1층 상세 표기 및 좌표를 확인함"
"227","227","커피베이스","파주시 문산읍 독산로 48","경기도 파주시 문산읍 문산리 63-3","37.8581274952","126.7841539045","재확인 필요","37.858155","126.7841437","커피베이스","경기 파주시 문산읍 독산로 48 1층","경기 파주시 문산읍 문산리 63-3","네이버 지도","https://map.naver.com/p/search/%EC%BB%A4%ED%94%BC%EB%B2%A0%EC%9D%B4%EC%8A%A4%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EC%82%B0%EC%9D%8D%20%EB%8F%85%EC%82%B0%EB%A1%9C%2048","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 1층 상세 표기 및 좌표를 확인함"
"102","102","테마모텔","파주시 중앙로 272 (금촌동)","경기도 파주시 금촌동 768-14","37.7603522554","126.777593734","재확인 필요","37.7603294","126.7775281","테마 모텔","경기 파주시 중앙로 272","경기 파주시 금촌동 768-14","네이버 지도","https://map.naver.com/p/search/%ED%85%8C%EB%A7%88%EB%AA%A8%ED%85%94%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C%20272%20%28%EA%B8%88%EC%B4%8C%EB%8F%99%29","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호의 공백 차이와 도로명 건물번호·지번 및 좌표를 확인함"
"260","260","통일식당","파주시 법원읍 사임당로 842","경기도 파주시 법원읍 대능리 84-51","37.8489182306","126.8742828936","재확인 필요","37.848976","126.8743186","통일식당","경기 파주시 법원읍 사임당로 842","경기 파주시 법원읍 대능리 84-51","네이버 지도","https://map.naver.com/p/search/%ED%86%B5%EC%9D%BC%EC%8B%9D%EB%8B%B9%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%B2%95%EC%9B%90%EC%9D%8D%20%EC%82%AC%EC%9E%84%EB%8B%B9%EB%A1%9C%20842","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 좌표를 확인함"
"458","458","한우리매운탕","파주시 파평면 장승배기로 173-8","경기도 파주시 파평면 율곡리 277-3","37.8808101224","126.8138654223","재확인 필요","37.880782","126.813894","한우리매운탕","경기 파주시 파평면 장승배기로 173-8","경기 파주시 파평면 율곡리 277-3","네이버 지도","https://map.naver.com/p/search/%ED%95%9C%EC%9A%B0%EB%A6%AC%EB%A7%A4%EC%9A%B4%ED%83%95%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%8C%8C%ED%8F%89%EB%A9%B4%20%EC%9E%A5%EC%8A%B9%EB%B0%B0%EA%B8%B0%EB%A1%9C%20173-8","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 좌표를 확인함"
"437","437","해민도예","파주시 탄현면 새오리로 209-19","경기도 파주시 탄현면 대동리 93-11","37.8009463192","126.6874309931","재확인 필요","37.800925","126.6873875","해민도예","경기 파주시 탄현면 새오리로 209-19","경기 파주시 탄현면 대동리 93-11","네이버 지도","https://map.naver.com/p/search/%ED%95%B4%EB%AF%BC%EB%8F%84%EC%98%88%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%83%84%ED%98%84%EB%A9%B4%20%EC%83%88%EC%98%A4%EB%A6%AC%EB%A1%9C%20209-19","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 좌표를 확인함"
"86","86","해울한정식","파주시 지목로 65 (신촌동)","경기도 파주시 신촌동 70-16","37.726571373","126.6990443559","재확인 필요","37.7268212","126.6985817","해울한정식","경기 파주시 지목로 65 해울한정식","경기 파주시 신촌동 70-16","네이버 지도","https://map.naver.com/p/search/%ED%95%B4%EC%9A%B8%ED%95%9C%EC%A0%95%EC%8B%9D%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EC%A7%80%EB%AA%A9%EB%A1%9C%2065%20%28%EC%8B%A0%EC%B4%8C%EB%8F%99%29","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 좌표를 확인함"
"198","198","헤어갤러리","파주시 문산읍 문산로26번길 2","경기도 파주시 문산읍 문산리 42-23","37.8572216994","126.7821096753","재확인 필요","37.8573065","126.7820609","헤어갤러리","경기 파주시 문산읍 문산로26번길 2","경기 파주시 문산읍 문산리 42-23","네이버 지도","https://map.naver.com/p/search/%ED%97%A4%EC%96%B4%EA%B0%A4%EB%9F%AC%EB%A6%AC%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EC%82%B0%EC%9D%8D%20%EB%AC%B8%EC%82%B0%EB%A1%9C26%EB%B2%88%EA%B8%B8%202","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 좌표를 확인함"
"100","100","헤어그린","파주시 새꽃로 208 (아동동)","경기도 파주시 아동동 356-2","37.7656719111","126.7756464988","재확인 필요","37.765668","126.7756238","헤어그린","경기 파주시 새꽃로 208 광성조명","경기 파주시 아동동 356-2","네이버 지도","https://map.naver.com/p/search/%ED%97%A4%EC%96%B4%EA%B7%B8%EB%A6%B0%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EC%83%88%EA%BD%83%EB%A1%9C%20208%20%28%EC%95%84%EB%8F%99%EB%8F%99%29","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 건물명 상세 표기 및 좌표를 확인함"
"421","421","DMZ장단콩두부마을","파주시 탄현면 평화로 902","경기도 파주시 탄현면 성동리 279","37.7861443704","126.6896376981","재확인 필요","37.7861082","126.6896057","DMZ장단콩두부마을","경기 파주시 탄현면 평화로 902 장단콩두부마을","경기 파주시 탄현면 성동리 279","네이버 지도","https://map.naver.com/p/search/DMZ%EC%9E%A5%EB%8B%A8%EC%BD%A9%EB%91%90%EB%B6%80%EB%A7%88%EC%9D%84%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%83%84%ED%98%84%EB%A9%B4%20%ED%8F%89%ED%99%94%EB%A1%9C%20902","확인 완료","확인 후보","승인 후보","아니오","2026-09-10 네이버 지도 상세 POI에서 상호·도로명 건물번호·지번과 좌표를 확인함"
"199","199","M 모텔","파주시 문산읍 문향로 87-1","경기도 파주시 문산읍 선유리 950-85","37.8594487596","126.7865381201","재확인 필요","","","M모텔","경기 파주시 문산읍 문향로 87-1","경기 파주시 문산읍 선유리 952-14","네이버 지도","https://map.naver.com/p/search/M%20%EB%AA%A8%ED%85%94%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%EB%AC%B8%EC%82%B0%EC%9D%8D%20%EB%AC%B8%ED%96%A5%EB%A1%9C%2087-1","미확인","보류","보류","아니오","2026-09-10 네이버 지도 상세 POI 대조 결과 상호와 도로명 건물번호는 일치하나 정본 지번 선유리 950-85와 지도 지번 선유리 952-14가 불일치하여 보류함"
