정본CSV행번호,업소명,소재지도로명주소,POI상호,POI도로명주소,POI지번주소,감사제안위도,감사제안경도,POI플레이스URL,지도대조결과,지도대조일,검토결정,정본반영여부,비고
341,구들장생고기,경기도 양주시 엄상동길 66,구들장생고기,경기도 양주시 엄상동길 66,경기도 양주시 고암동 148,37.8314259,127.069763,https://pcmap.place.naver.com/restaurant/18086303/home,상호·도로명주소 일치,2026-09-06,미검토,아니오,지도 POI 화면에서 상호와 주소를 수동 대조함
351,만수장,경기도 양주시 평화로 1552-1,만수장,경기도 양주시 평화로 1552-1,경기도 양주시 회정동 870-1,37.8276625,127.0536576,https://pcmap.place.naver.com/restaurant/18091981/home,상호·도로명주소 일치,2026-09-06,미검토,아니오,지도 POI 화면에서 상호와 주소를 수동 대조함
355,소문난쭈꾸미생삼겹,경기도 양주시 엄상동길 50-16,소문난쭈꾸미생삼겹,경기도 양주시 엄상동길 50-16,경기도 양주시 고암동 160-1,37.8307466,127.0687841,https://pcmap.place.naver.com/restaurant/1640636529/home,상호·도로명주소 일치,2026-09-06,미검토,아니오,지도 POI 화면에서 상호와 주소를 수동 대조함
362,장흥숯불갈비,경기도 양주시 화합로1361번길 32,장흥숯불갈비,경기도 양주시 화합로1361번길 32,경기도 양주시 덕정동 132-17,37.8436292,127.0640493,https://pcmap.place.naver.com/restaurant/36755013/home,상호·도로명주소 일치,2026-09-06,미검토,아니오,지도 POI 화면에서 상호와 주소를 수동 대조함
363,정주산장,경기도 양주시 장흥면 호국로550번길 102-127,정주산장,경기도 양주시 장흥면 호국로550번길 102-127,경기도 양주시 장흥면 울대리 541-1,37.7128723,126.9823311,https://pcmap.place.naver.com/restaurant/1114204649/home,상호·도로명주소 일치,2026-09-06,미검토,아니오,지도 POI 화면에서 상호와 주소를 수동 대조함
365,초가마을,경기도 양주시 장흥면 권율로309번길 159,초가마을,경기도 양주시 장흥면 권율로309번길 159,경기도 양주시 장흥면 석현리 328,37.7446708,126.9510398,https://pcmap.place.naver.com/restaurant/12008855/home,상호·도로명주소 일치,2026-09-06,미검토,아니오,지도 POI 화면에서 상호와 주소를 수동 대조함
368,행복한사람들,경기도 양주시 백석읍 권율로 852,행복한사람들,경기도 양주시 백석읍 권율로 852,경기도 양주시 백석읍 기산리 131-2,37.774723,126.961398,https://pcmap.place.naver.com/restaurant/20220214/home,상호·도로명주소 일치,2026-09-06,미검토,아니오,지도 POI 화면에서 상호와 주소를 수동 대조함
