"정본CSV행번호","업소명","소재지도로명주소","소재지지번주소","참고POI상호","참고POI도로명주소","참고POI지번주소","원본주소지도검색URL","참고POI지도검색URL","POI조회어","POI조회방식","APIHUB조회어지도검색URL","지도대조결과","검토결정","정본반영여부","감사제안위도","감사제안경도","비고"
"154","거북이삼겹살","경기도 동두천시 생연로175, 1층(생연동)","","","","","https://map.naver.com/p/search/%EA%B1%B0%EB%B6%81%EC%9D%B4%EC%82%BC%EA%B2%B9%EC%82%B4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C175%2C%201%EC%B8%B5%28%EC%83%9D%EC%97%B0%EB%8F%99%29","","거북이삼겹살 경기도 동두천시 생연로175","도로명·건물번호 보조 검색","https://map.naver.com/p/search/%EA%B1%B0%EB%B6%81%EC%9D%B4%EC%82%BC%EA%B2%B9%EC%82%B4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%9D%EC%97%B0%EB%A1%9C175","상호 확장 표기·도로명주소 일치","미검토","아니오","","","지도 POI: 거북이 삼겹살&숯불갈비 / 경기 동두천시 생연로 175 1층. https://pcmap.place.naver.com/restaurant/1637951605/home (2026-09-07 보조 검색 지도 화면 대조); 검토 결정·정본 반영·좌표 제안 없음"
"155","고기싸롱","경기도 동두천시 평화로2313번길 7-26(지행동)","","","","","https://map.naver.com/p/search/%EA%B3%A0%EA%B8%B0%EC%8B%B8%EB%A1%B1%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2313%EB%B2%88%EA%B8%B8%207-26%28%EC%A7%80%ED%96%89%EB%8F%99%29","","고기싸롱 경기도 동두천시 평화로2313번길 7-26(지행동)","전체 주소 검색","https://map.naver.com/p/search/%EA%B3%A0%EA%B8%B0%EC%8B%B8%EB%A1%B1%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C2313%EB%B2%88%EA%B8%B8%207-26%28%EC%A7%80%ED%96%89%EB%8F%99%29","상호 지점 표기·도로명주소 일치","미검토","아니오","","","지도 POI: 고기싸롱 동두천지행점 / 경기 동두천시 평화로2313번길 7-26 101호~102호. https://pcmap.place.naver.com/restaurant/1473511140/home (2026-09-07 지도 화면 대조); 검토 결정·정본 반영·좌표 제안 없음"
"156","고봉민김밥 지행역점","경기도 동두천시 중앙로126, 107호(지행동)","","","","","https://map.naver.com/p/search/%EA%B3%A0%EB%B4%89%EB%AF%BC%EA%B9%80%EB%B0%A5%20%EC%A7%80%ED%96%89%EC%97%AD%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C126%2C%20107%ED%98%B8%28%EC%A7%80%ED%96%89%EB%8F%99%29","","고봉민김밥 지행역점 경기도 동두천시 중앙로126","도로명·건물번호 보조 검색","https://map.naver.com/p/search/%EA%B3%A0%EB%B4%89%EB%AF%BC%EA%B9%80%EB%B0%A5%20%EC%A7%80%ED%96%89%EC%97%AD%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C126","지도 POI 검색 결과 없음","미검토","아니오","","","원본 전체주소 및 API HUB 도로명·건물번호 보조 검색에서 지도 POI 결과 없음 (2026-09-07); 검토 결정·정본 반영·좌표 제안 없음"
"157","그집순대국","경기도 동두천시 장고갯로157, 제1동(생연동)","","","","","https://map.naver.com/p/search/%EA%B7%B8%EC%A7%91%EC%88%9C%EB%8C%80%EA%B5%AD%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%9E%A5%EA%B3%A0%EA%B0%AF%EB%A1%9C157%2C%20%EC%A0%9C1%EB%8F%99%28%EC%83%9D%EC%97%B0%EB%8F%99%29","","그집순대국 경기도 동두천시 장고갯로157","도로명·건물번호 보조 검색","https://map.naver.com/p/search/%EA%B7%B8%EC%A7%91%EC%88%9C%EB%8C%80%EA%B5%AD%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%9E%A5%EA%B3%A0%EA%B0%AF%EB%A1%9C157","상호 본점 표기·도로명주소 일치","미검토","아니오","","","지도 POI: 그집순대국 본점 / 경기 동두천시 장고갯로 157 제1동(생연동). https://pcmap.place.naver.com/restaurant/21728036/home (2026-09-07 보조 검색 지도 화면 대조); 검토 결정·정본 반영·좌표 제안 없음"
"122","노블헤어","경기도 동두천시 거북마루로45, 상가동 202호(생연동)","","","","","https://map.naver.com/p/search/%EB%85%B8%EB%B8%94%ED%97%A4%EC%96%B4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EA%B1%B0%EB%B6%81%EB%A7%88%EB%A3%A8%EB%A1%9C45%2C%20%EC%83%81%EA%B0%80%EB%8F%99%20202%ED%98%B8%28%EC%83%9D%EC%97%B0%EB%8F%99%29","","노블헤어 경기도 동두천시 거북마루로45","도로명·건물번호 보조 검색","https://map.naver.com/p/search/%EB%85%B8%EB%B8%94%ED%97%A4%EC%96%B4%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EA%B1%B0%EB%B6%81%EB%A7%88%EB%A3%A8%EB%A1%9C45","미검토","미검토","아니오","","","API 참고 POI가 없는 미확인군. 지도 POI 화면에서 상호와 도로명주소를 대조하고, 불확실하면 좌표를 비움"
"161","다원","경기도 동두천시 어수로102번길 6(생연동)","","","","","https://map.naver.com/p/search/%EB%8B%A4%EC%9B%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%96%B4%EC%88%98%EB%A1%9C102%EB%B2%88%EA%B8%B8%206%28%EC%83%9D%EC%97%B0%EB%8F%99%29","","다원 경기도 동두천시 어수로102번길 6(생연동)","전체 주소 검색","https://map.naver.com/p/search/%EB%8B%A4%EC%9B%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%96%B4%EC%88%98%EB%A1%9C102%EB%B2%88%EA%B8%B8%206%28%EC%83%9D%EC%97%B0%EB%8F%99%29","미검토","미검토","아니오","","","API 참고 POI가 없는 미확인군. 지도 POI 화면에서 상호와 도로명주소를 대조하고, 불확실하면 좌표를 비움"
"162","대왕미가","경기도 동두천시 삼육사로1009(생연동)","","","","","https://map.naver.com/p/search/%EB%8C%80%EC%99%95%EB%AF%B8%EA%B0%80%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%82%BC%EC%9C%A1%EC%82%AC%EB%A1%9C1009%28%EC%83%9D%EC%97%B0%EB%8F%99%29","","대왕미가 경기도 동두천시 삼육사로1009(생연동)","전체 주소 검색","https://map.naver.com/p/search/%EB%8C%80%EC%99%95%EB%AF%B8%EA%B0%80%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%82%BC%EC%9C%A1%EC%82%AC%EB%A1%9C1009%28%EC%83%9D%EC%97%B0%EB%8F%99%29","미검토","미검토","아니오","","","API 참고 POI가 없는 미확인군. 지도 POI 화면에서 상호와 도로명주소를 대조하고, 불확실하면 좌표를 비움"
"188","빨간풍차제과점","경기도 동두천시 동광로78번길 4(생연동)","","","","","https://map.naver.com/p/search/%EB%B9%A8%EA%B0%84%ED%92%8D%EC%B0%A8%EC%A0%9C%EA%B3%BC%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EB%8F%99%EA%B4%91%EB%A1%9C78%EB%B2%88%EA%B8%B8%204%28%EC%83%9D%EC%97%B0%EB%8F%99%29","","빨간풍차제과점 경기도 동두천시 동광로78번길 4(생연동)","전체 주소 검색","https://map.naver.com/p/search/%EB%B9%A8%EA%B0%84%ED%92%8D%EC%B0%A8%EC%A0%9C%EA%B3%BC%EC%A0%90%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EB%8F%99%EA%B4%91%EB%A1%9C78%EB%B2%88%EA%B8%B8%204%28%EC%83%9D%EC%97%B0%EB%8F%99%29","미검토","미검토","아니오","","","API 참고 POI가 없는 미확인군. 지도 POI 화면에서 상호와 도로명주소를 대조하고, 불확실하면 좌표를 비움"
"130","신성순 헤어아트","경기도 동두천시 중앙로278, 2층(생연동)","","","","","https://map.naver.com/p/search/%EC%8B%A0%EC%84%B1%EC%88%9C%20%ED%97%A4%EC%96%B4%EC%95%84%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C278%2C%202%EC%B8%B5%28%EC%83%9D%EC%97%B0%EB%8F%99%29","","신성순 헤어아트 경기도 동두천시 중앙로278","도로명·건물번호 보조 검색","https://map.naver.com/p/search/%EC%8B%A0%EC%84%B1%EC%88%9C%20%ED%97%A4%EC%96%B4%EC%95%84%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A4%91%EC%95%99%EB%A1%9C278","미검토","미검토","아니오","","","API 참고 POI가 없는 미확인군. 지도 POI 화면에서 상호와 도로명주소를 대조하고, 불확실하면 좌표를 비움"
"132","안다미로","경기도 동두천시 지행로107번길 13(지행동)","","","","","https://map.naver.com/p/search/%EC%95%88%EB%8B%A4%EB%AF%B8%EB%A1%9C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A7%80%ED%96%89%EB%A1%9C107%EB%B2%88%EA%B8%B8%2013%28%EC%A7%80%ED%96%89%EB%8F%99%29","","안다미로 경기도 동두천시 지행로107번길 13(지행동)","전체 주소 검색","https://map.naver.com/p/search/%EC%95%88%EB%8B%A4%EB%AF%B8%EB%A1%9C%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%A7%80%ED%96%89%EB%A1%9C107%EB%B2%88%EA%B8%B8%2013%28%EC%A7%80%ED%96%89%EB%8F%99%29","미검토","미검토","아니오","","","API 참고 POI가 없는 미확인군. 지도 POI 화면에서 상호와 도로명주소를 대조하고, 불확실하면 좌표를 비움"
