"rowNumber","storeName","inputAddress","expectedSido","replacedInvalidCoordinate","status","resultCount","matchedAddress","latitude","longitude","message"
"136","인헤어","경기도 동두천시 삼육사로902","경기도","False","MATCHED","1","경기도 동두천시 삼육사로 902","37.8995915","127.050081","시도 일치 단일 검색 결과"
"137","잔디이발관","경기도 동두천시 중앙로369(보산동)","경기도","False","MATCHED","1","경기도 동두천시 중앙로 369","37.9132522","127.0580444","시도 일치 단일 검색 결과"
"138","쟝스헤어","경기도 동두천시 평화로2915(상봉암동)","경기도","False","MATCHED","1","경기도 동두천시 평화로 2915","37.9470084","127.0613666","시도 일치 단일 검색 결과"
"139","정헤어샾","경기도 동두천시 동광로83-1(생연동)","경기도","False","MATCHED","1","경기도 동두천시 동광로 83-1","37.9090884","127.0576367","시도 일치 단일 검색 결과"
"140","제이제이 남성컷트전문","경기도 동두천시 평화로2530번길 30(보산동)","경기도","False","MATCHED","1","경기도 동두천시 평화로2530번길 30","37.9135589","127.0594159","시도 일치 단일 검색 결과"
"141","젠틀맨","경기도 동두천시 중앙로362번길 8(생연동)","경기도","False","MATCHED","1","경기도 동두천시 중앙로362번길 8","37.9126467","127.0569518","시도 일치 단일 검색 결과"
"142","차희에스 머리사랑","경기도 동두천시 행선로98(생연동)","경기도","False","MATCHED","1","경기도 동두천시 행선로 98","37.8968706","127.0626416","시도 일치 단일 검색 결과"
"143","최재실 원헤어","경기도 동두천시 평화로2397번길 17","경기도","False","MATCHED","1","경기도 동두천시 평화로2397번길 17","37.9016106","127.0568218","시도 일치 단일 검색 결과"
"144","추은옥머리쟁이","경기도 동두천시 행선로102(생연동)","경기도","False","MATCHED","1","경기도 동두천시 행선로 102 에이스상가","37.8971498","127.0627489","시도 일치 단일 검색 결과"
"145","쿨헤어샵","경기도 동두천시 중앙로311(생연동)","경기도","False","MATCHED","1","경기도 동두천시 중앙로 311","37.9093907","127.054839","시도 일치 단일 검색 결과"
"146","하니머리나라","경기도 동두천시 삼육사로1002번길 97(지행동)","경기도","False","MATCHED","1","경기도 동두천시 삼육사로1002번길 97 지행주공아파트1단지","37.8950128","127.0597027","시도 일치 단일 검색 결과"
"147","헤어고","경기도 동두천시 중앙로230-1","경기도","False","MATCHED","1","경기도 동두천시 중앙로 230-1","37.9020242","127.0532969","시도 일치 단일 검색 결과"
"148","헤어바이 미정","경기도 동두천시 중앙로265번길 8(생연동)","경기도","False","MATCHED","1","경기도 동두천시 중앙로265번길 8","37.9053073","127.0534308","시도 일치 단일 검색 결과"
"149","헤어뱅크","경기도 동두천시 중앙로297","경기도","False","MATCHED","1","경기도 동두천시 중앙로 297","37.9081137","127.0543425","시도 일치 단일 검색 결과"
"150","헤어카페","경기도 동두천시 행선로110번길 9","경기도","False","MATCHED","1","경기도 동두천시 행선로110번길 9 휴먼시아","37.8979317","127.0636874","시도 일치 단일 검색 결과"
"151","그린파크모텔","경기도 동두천시 어수로91-10(생연동)","경기도","False","MATCHED","1","경기도 동두천시 어수로 91-10","37.902995","127.0530101","시도 일치 단일 검색 결과"
"152","제이(J)모텔","경기도 동두천시 동두천로247-13(생연동)","경기도","False","MATCHED","1","경기도 동두천시 동두천로 247-13","37.9036831","127.0550199","시도 일치 단일 검색 결과"
"153","강스시","경기도 동두천시 어수로83번길 38","경기도","False","MATCHED","1","경기도 동두천시 어수로83번길 38","37.9043773","127.0526486","시도 일치 단일 검색 결과"
"154","거북이삼겹살","경기도 동두천시 생연로175","경기도","False","MATCHED","1","경기도 동두천시 생연로 175","37.9081428","127.0526481","시도 일치 단일 검색 결과"
"155","고기싸롱","경기도 동두천시 평화로2313번길 7-26(지행동)","경기도","False","MATCHED","1","경기도 동두천시 평화로2313번길 7-26","37.8931252","127.0564689","시도 일치 단일 검색 결과"
"156","고봉민김밥 지행역점","경기도 동두천시 중앙로126","경기도","False","MATCHED","1","경기도 동두천시 중앙로 126 생연프라자","37.892772","127.052538","시도 일치 단일 검색 결과"
"157","그집순대국","경기도 동두천시 장고갯로157","경기도","False","MATCHED","1","경기도 동두천시 장고갯로 157 '1동,2동'","37.908939","127.0652922","시도 일치 단일 검색 결과"
"158","깐부치킨 동두천지행역점","경기도 동두천시 중앙로134-20","경기도","False","MATCHED","1","경기도 동두천시 중앙로 134-20","37.8930182","127.0538205","시도 일치 단일 검색 결과"
"159","넓은공간","경기도 동두천시 평화로2910번길 82(상봉암동)","경기도","False","MATCHED","1","경기도 동두천시 평화로2910번길 82","37.9456285","127.0657472","시도 일치 단일 검색 결과"
"160","다복식당","경기도 동두천시 생연로177(생연동)","경기도","False","MATCHED","1","경기도 동두천시 생연로 177","37.9082713","127.0527418","시도 일치 단일 검색 결과"
"161","다원","경기도 동두천시 어수로102번길 6(생연동)","경기도","False","MATCHED","1","경기도 동두천시 어수로102번길 6","37.9020567","127.0536323","시도 일치 단일 검색 결과"
"162","대왕미가","경기도 동두천시 삼육사로1009(생연동)","경기도","False","MATCHED","1","경기도 동두천시 삼육사로 1009","37.8995258","127.062083","시도 일치 단일 검색 결과"
"163","대호숯불갈비","경기도 동두천시 중앙로265번길 19(생연동)","경기도","False","MATCHED","1","경기도 동두천시 중앙로265번길 19","37.9052307","127.0526925","시도 일치 단일 검색 결과"
"164","동태한그릇","경기도 동두천시 생연로155(생연동)","경기도","False","MATCHED","1","경기도 동두천시 생연로 155","37.9063421","127.0519865","시도 일치 단일 검색 결과"
"165","소요산명품한우식당","경기도 동두천시 평화로2910번길 1(상봉암동)","경기도","False","MATCHED","1","경기도 동두천시 평화로2910번길 1","37.946529","127.0618737","시도 일치 단일 검색 결과"
"166","슈퍼크리스피 동두천지행점","경기도 동두천시 중앙로132","경기도","False","MATCHED","1","경기도 동두천시 중앙로 132 이담프라자빌딩","37.8932032","127.0525799","시도 일치 단일 검색 결과"
"167","쌍둥이족발","경기도 동두천시 생연로122","경기도","False","MATCHED","1","경기도 동두천시 생연로 122","37.9032591","127.0512744","시도 일치 단일 검색 결과"
"168","압구정 화로구이","경기도 동두천시 지행로52","경기도","False","MATCHED","1","경기도 동두천시 지행로 52 송내프라자","37.8920811","127.0530217","시도 일치 단일 검색 결과"
"169","어멍생고기","경기도 동두천시 동두천로119","경기도","False","MATCHED","1","경기도 동두천시 동두천로 119 지행역프라자","37.8920677","127.0546205","시도 일치 단일 검색 결과"
"170","요리하는경더기","경기도 동두천시 중앙로134-20","경기도","False","MATCHED","1","경기도 동두천시 중앙로 134-20","37.8930182","127.0538205","시도 일치 단일 검색 결과"
"171","우막산순대국","경기도 동두천시 평화로2261번길 22(지행동)","경기도","False","MATCHED","1","경기도 동두천시 평화로2261번길 22 금호타이어프로","37.8902959","127.0565284","시도 일치 단일 검색 결과"
"172","유경장작구이","경기도 동두천시 평화로2910번길 10(상봉암동)","경기도","False","MATCHED","1","경기도 동두천시 평화로2910번길 10","37.9459138","127.0617488","시도 일치 단일 검색 결과"
"173","육꼬집","경기도 동두천시 중앙로110-9","경기도","False","MATCHED","1","경기도 동두천시 중앙로 110-9 한스빌딩","37.8916416","127.0530533","시도 일치 단일 검색 결과"
"174","으뜸코다리냉면","경기도 동두천시 생연로170-2","경기도","False","MATCHED","1","경기도 동두천시 생연로 170-2","37.9076616","127.0526978","시도 일치 단일 검색 결과"
"175","일미담","경기도 동두천시 동광로73","경기도","False","MATCHED","1","경기도 동두천시 동광로 73","37.9088932","127.056332","시도 일치 단일 검색 결과"
"176","장단콩터","경기도 동두천시 생연로119-1","경기도","False","MATCHED","1","경기도 동두천시 생연로 119-1","37.9033102","127.0509794","시도 일치 단일 검색 결과"
"177","좋은날식당","경기도 동두천시 중앙로265번길 23(생연동)","경기도","False","MATCHED","1","경기도 동두천시 중앙로265번길 23","37.9052627","127.0525376","시도 일치 단일 검색 결과"
"178","처가집(부대찌개)","경기도 동두천시 어수로91-3(생연동)","경기도","False","MATCHED","1","경기도 동두천시 어수로 91-3","37.9027419","127.0527489","시도 일치 단일 검색 결과"
"179","초코파이","경기도 동두천시 큰시장로 42(생연동)","경기도","False","MATCHED","1","경기도 동두천시 큰시장로 42 고려빌딩","37.9005329","127.0531008","시도 일치 단일 검색 결과"
"180","촌가","경기도 동두천시 중앙로273번길 30","경기도","False","MATCHED","1","경기도 동두천시 중앙로273번길 30","37.9062452","127.0524678","시도 일치 단일 검색 결과"
"181","통큰부대찌개","경기도 동두천시 생연로39-60(지행동)","경기도","False","MATCHED","1","경기도 동두천시 생연로 39-60","37.8964189","127.0479792","시도 일치 단일 검색 결과"
"182","특허받은 마늘콩짜장","경기도 동두천시 평화로 2351(생연동)","경기도","False","MATCHED","1","경기도 동두천시 평화로 2351","37.8977819","127.05757","시도 일치 단일 검색 결과"
"183","팔각도 동두천지행점","경기도 동두천시 중앙로116","경기도","False","MATCHED","1","경기도 동두천시 중앙로 116 두손프라자","37.8917688","127.052518","시도 일치 단일 검색 결과"
